name,ghidra_addr,ne_addr
LGetFleetStat,1050:40f2,000b:40f2
WtMaxShdefStat,1050:41b2,000b:41b2
DrawFleetGauge,1050:44b6,000b:44b6
DrawFleetBitmap,1050:490e,000b:490e
FEnumCalcJettison,1050:4df4,000b:4df4
TransferStuff,1050:4faa,000b:4faa
TransferDlg,1050:5686,000b:5686
FTrackXfer,1050:5a16,000b:5a16
GetCargoFree,1050:5f98,000b:5f98
GetFuelFree,1050:6004,000b:6004
ChgCargo,1050:6034,000b:6034
XferSupply,1050:64cc,000b:64cc
UpdateXferBtns,1050:66a8,000b:66a8
DrawXferDlg,1050:6908,000b:6908
GetXferLeftRightRcs,1050:6b46,000b:6b46
FSetupXferBtns,1050:6bea,000b:6bea
DrawThingXferSide,1050:7088,000b:7088
DrawFleetCargoXferSide,1050:72de,000b:72de
DrawFleetShipsXferSide,1050:7726,000b:7726
DrawPlanetXferSide,1050:79ca,000b:79ca
ClickInShipOrders,1050:7cda,000b:7cda
FillFleetCompLB,1050:9166,000b:9166
FillOrdersLB,1050:928c,000b:928c
SetOrdersLbSel,1050:9354,000b:9354
UpdateOrdersDDs,1050:93ee,000b:93ee
FillBattleDD,1050:9a36,000b:9a36
DeleteCurWayPoint,1050:9b08,000b:9b08
DeleteWpFar,1050:9e28,000b:9e28
EstFuelUse,1050:9fe4,000b:9fe4
FakeEditProc,1050:a700,000b:a700
IFindIdealWarp,1050:a76e,000b:a76e
LFuelUseToWaypoint,1050:a9f4,000b:a9f4
FleetTransferCargoBalance,1050:ae74,000b:ae74
DestroyAllIshdefSB,1050:c280,000b:c280
DestroyAllIshdef,1050:c336,000b:c336
RemoveIshdefFromAllQueues,1050:c5e6,000b:c5e6
CshQueued,1050:c82c,000b:c82c
Merge2Fleets,1050:c9f6,000b:c9f6
FleetOrdersChangeTarget,1050:cafe,000b:cafe
GetTruePartCost,1050:cd00,000b:cd00
ScannerWndProc,1058:0032,000c:0032
PtToScan,1058:0efc,000c:0efc
ScanToPt,1058:0fc2,000c:0fc2
DrawScanner,1058:108a,000c:108a
DrawScanFleetCount,1058:47d2,000c:47d2
CShipsScanVis,1058:4bf4,000c:4bf4
DrawRadarCircle,1058:4e7c,000c:4e7c
DrawShipScanPath,1058:540c,000c:540c
DrawScannerSBar,1058:62d8,000c:62d8
DrawLockLight,1058:6b00,000c:6b00
SetScanScrollBars,1058:6c14,000c:6c14
ScrollScanner,1058:6d30,000c:6d30
RedrawScanSel,1058:6f30,000c:6f30
FEnsurePointOnScreen,1058:715c,000c:715c
CtrPointScan,1058:7278,000c:7278
LogicalToScan,1058:744e,000c:744e
ScanToLogical,1058:7490,000c:7490
FAddWayPoint,1058:7504,000c:7504
IWarpBestForWaypoint,1058:7a18,000c:7a18
FNearAWayPoint,1058:8074,000c:8074
FHandleWayPointDrag,1058:8176,000c:8176
DrawScanXorLines,1058:8af6,000c:8af6
SetScanWp,1058:8c5a,000c:8c5a
ChangeScanSel,1058:8cc4,000c:8cc4
FGetNextObjHere,1058:909c,000c:909c
FindDlg,1058:9286,000c:9286
FSelectSz,1058:945a,000c:945a
GetScanFleetOrientation,1058:978c,000c:978c
GetDxDyOrientation,1058:987c,000c:987c
FHandleMeasuringTape,1058:9974,000c:9974
LphbAlloc,1060:0000,000d:0000
LphbReAlloc,1060:0108,000d:0108
FreeHb,1060:02d8,000d:02d8
ResetHb,1060:0348,000d:0348
LpAlloc,1060:03b2,000d:03b2
LphbFromLpHt,1060:058c,000d:058c
LpReAlloc,1060:0660,000d:0660
FreeLp,1060:07a8,000d:07a8
LpplReAlloc,1060:0836,000d:0836
LpplAlloc,1060:088c,000d:088c
FreePl,1060:0918,000d:0918
TbWndProc,1068:001e,000e:001e
DrawToolbar,1068:06f0,000e:06f0
DrawBitmapButton,1068:078c,000e:078c
ItbFromPpt,1068:0b12,000e:0b12
DxOfBtn,1068:0bb2,000e:0bb2
FIsButtonDown,1068:0c3a,000e:0c3a
ExecuteButton,1068:0db6,000e:0db6
TerminateToolbarFocus,1068:1680,000e:1680
ShowTooltip,1068:17ea,000e:17ea
TooltipWndProc,1068:19e4,000e:19e4
FakeComboProc,1068:1d72,000e:1d72
FakeCEProc,1068:1df0,000e:1df0
FReadShDef,1070:0006,000f:0006
ReadRtPlr,1070:05e2,000f:05e2
FLoadGame,1070:0810,000f:0810
FReadPlanet,1070:3206,000f:3206
FReadFleet,1070:3a4c,000f:3a4c
UnpackBattlePlan,1070:40ce,000f:40ce
UpdateBattleRecords,1070:41ac,000f:41ac
AskSaveDialog,1070:432a,000f:432a
PromptSaveGame,1070:43ee,000f:43ee
DestroyCurGame,1070:44b0,000f:44b0
FBogusLong,1070:484c,000f:484c
FValidSerialLong,1070:48c4,000f:48c4
FileError,1070:4a10,000f:4a10
GetFileStatus,1070:4a60,000f:4a60
FOpenFile,1070:4ac2,000f:4ac2
FNewTurnAvail,1070:4f22,000f:4f22
FCheckFile,1070:4fb2,000f:4fb2
ReadRt,1070:5168,000f:5168
FBadFileError,1070:524e,000f:524e
StreamOpen,1070:52ae,000f:52ae
StreamClose,1070:53cc,000f:53cc
RgFromStream,1070:53f4,000f:53f4
WriteOrders,1070:547e,000f:547e
WriteRtPlr,1070:551c,000f:551c
WriteRtShDef,1070:574e,000f:574e
FWriteDataFile,1070:5964,000f:5964
FAppendFile,1070:704e,000f:704e
WriteBattles,1070:709c,000f:709c
WritePlanet,1070:7a6a,000f:7a6a
WriteFleet,1070:81c6,000f:81c6
WriteRtString,1070:87b4,000f:87b4
MarkFleet,1070:885e,000f:885e
WriteBattlePlan,1070:89b8,000f:89b8
MarkPlanet,1070:8adc,000f:8adc
SetSzWorkFromDt,1070:8cfe,000f:8cfe
FCreateFile,1070:8e16,000f:8e16
WriteBOF,1070:8ea4,000f:8ea4
FMarkFile,1070:904a,000f:904a
WriteRt,1070:947c,000f:947c
RgToStream,1070:9554,000f:9554
SetVisiblePlanFleet,1070:95bc,000f:95bc
SetVisPFInit,1070:9654,000f:9654
SetVisPFFleets,1070:a100,000f:a100
SetVisPFPlanets,1070:abde,000f:abde
SetVisPFThings,1070:b9ee,000f:b9ee
SetVisPFFinish,1070:c41c,000f:c41c
InitBattlePlan,1078:00c0,0010:00c0
GenerateWorld,1078:0136,0010:0136
CreateStartupShip,1078:4690,0010:4690
GenNewGameFromFile,1078:4812,0010:4812
CreateTutorWorld,1078:5e5e,0010:5e5e
NewGameWizard,1078:6022,0010:6022
